word,group_id
н’ьмагу́,1
н’ьч’иво́,1
jе́сл’ь,2
пъзван’у́,5
э́тъ,8
по́мн’ь̊,4
дъвышто́,5
кан’е́шнъ,8
сму́тнъ,8
вро́д’Ьбъ,2
н’ипо́мн’ь̊,4
н’иб’е́снъи̯Ь,4
пр’ьхажа́н’Ьн,2
о́ч’ьн’,2
нуна́дЪжъ,6
хърашо́,5
но́въс’т’,6
н’иб’е́снЪи̯ь,7
у́жъс,6
пр’Ьхажа́н’ьн,5
што́л’ь,4
ыздв’е́с’т’ь,4
аднакла́с’н’ьк,2
испаве́дъ̊ьцЪ,8
н’Ьабш’а́л’ьс’,1
како́и̯тъ,8
испаве́дъ̊Ьцъ,3
на́дЪжъ,7
в’е́жл’Ьвъи̯,3
на́дъжЪ,8
фц’е́ркъф’,6
зна́и̯ь̊,4
му́тнъи̯,6
р’Ьгул’а́рнъ,1
пра́вдъ,8
э́тът,6
вы́мн’ь,4
нуна́дъжЪ,8
д’е́лът’,6
н’ипу́тЪи̯ь,3
н’Ьдружы́л’ь,1
ца́рств’Ьи̯ь,3
н’изна́лъ,8
пр’ьн’исл’и́,1
р’ьгул’а́рнЪ,8
вЪсказа́л’ь,5
н’ьабш’а́л’Ьс’,2
што́тъ,8
н’ипо́мн’ь,4
въсказа́л’Ь,4
нъ̊дава́и̯т’Ь,4
ца́рств’ьи̯Ь,4
аб’иза́т’Ьл’нъ,2
п’итна́цЪтъи̯,6
нъ̊дава́и̯т’ь,5
па́р’ьн’,2
испаве́дъ̊ьцъ,7
зъдава́и̯т’Ь,8
н’ипу́тъи̯Ь,4
сас’е́дъ̊шкЪ,8
н’Ьпр’ьпъм’ина́и̯ь,5
аб’иза́т’ьл’нЪ,8
сас’е́дъ̊шкъ,6
съ̊ицы́т,5
н’ьдружы́л’Ь,4
в’е́жл’ьвЪи̯,6
зЪдава́и̯т’ь,5
н’ьпр’ьпЪм’ина́и̯ь,5
улыба́Ьцъ,3
н’ьпр’ьпъм’ина́и̯Ь,4
хо́д’ьт,2
н’ьпр’Ьпъм’ина́и̯ь,1
п’итна́цътЪи̯,6
разб’и́лс’ь,4
вро́д’ьбЪ,8
дъмъфстр’ич’а́л’Ьс’,2
улыба́ьцЪ,8
нъ̊вапщ’е́,5
дъмЪфстр’ич’а́л’ьс’,5
дЪмъфстр’ич’а́л’ьс’,5
зъдава́и̯т’ь,4
н’ьпр’ипо́мн’ь̊,4
фстр’ич’а́л’ьс’,2
нъ̊!дава́и̯т’ь,5
испаве́дъ̊!ьцъ,7
дамЪфстр’ич’а́л’ьс’,5
сас’е́душкъ,8
жа́лкъ,8
дъшто́вы,5
н’ьпр’ьпъм’ина́и̯ь,4
н’Ьпр’ьпъм’ина́и̯ъ,1
н’ьпр’ьпЪм’ина́и̯ъ,5
улыба́ьцъ,8
што́тЪ,8
в’е́жл’вЪи̯,6
нь̊мъфстр’ич’а́л’Ьс’,2
во́кък,6
фстр’ич’а́л’Ьс’,2
нь̊мЪфстр’ич’а́л’ьс’,5
н’Ьдружы́л’ь’,1
мЪфстр’ич’а́л’ьс’,5
пъзван’ит'ь,5
р’ьгул’а́рнъ,8
н’Ьпр’ипо́мн’ь̊,1
н’ьпр’Ьпъм’ина́и̯ъ,1
нь̊мъфстр’ич’а́л’ьс’,5
нуна́дъжъ,6
хо́ьт,2
п’итна́цътъи̯,6
хо́дьл,2
улыба́лсъ,8
сму́тнъи̯,6
н’Ьпр’ипо́мн’ь̊!,1
сас’е́дъ̊!шкъ,6
в’е́жл’ьвъи̯,6
въсказа́л’ь,4
н’ипо́мн’Ь,4
мъфстр’ич’а́л’Ьс’,2
этъ,8
улыба́ьцЪ/А?,8
аб’иза́т’ьл’н},8
